Peer IP,Direction,Destination Port
152.67.141.210,Sent,17472
172.66.0.26,Sent,443
20.42.73.27,Sent,443
217.20.56.99,Sent,80
52.168.117.175,Sent,443
2.16.153.11,Sent,80
104.208.16.91,Sent,443
162.159.140.26,Sent,443
13.89.178.27,Sent,443
91.80.49.86,Sent,80
52.182.143.211,Sent,443
185.160.60.100,Sent,80
20.72.205.209,Sent,443
52.182.143.215,Sent,443
20.189.173.7,Sent,443
20.189.173.23,Sent,443
146.75.74.172,Sent,80
192.168.147.10,Sent,7700
192.168.147.10,Sent,64933
20.189.173.5,Sent,443
91.81.130.133,Sent,80
20.106.86.13,Sent,443
20.52.64.200,Sent,443
52.182.143.209,Sent,443
20.52.64.201,Sent,443
13.71.55.58,Sent,443
104.78.173.167,Sent,80
40.126.31.130,Sent,443
192.168.147.201,Sent,139
192.168.147.201,Sent,445
192.168.147.179,Sent,445
20.44.239.154,Sent,443
40.79.167.8,Sent,443
91.81.130.134,Sent,80
20.42.72.131,Sent,443
20.42.73.28,Sent,443
13.78.111.198,Sent,443
20.42.65.94,Sent,443
2.16.153.13,Sent,80
172.187.46.136,Sent,443
51.116.246.105,Sent,443
217.20.56.98,Sent,80
52.191.219.104,Sent,443
13.69.109.130,Sent,443
40.79.150.121,Sent,443
51.105.71.137,Sent,443
20.189.173.26,Sent,443
20.42.65.93,Sent,443
13.69.239.79,Sent,443
51.105.71.136,Sent,443
20.189.173.1,Sent,443
20.189.173.24,Sent,443
20.189.173.17,Sent,443
52.185.211.133,Sent,443
20.42.65.90,Sent,443
20.42.73.25,Sent,443
52.168.117.169,Sent,443
20.189.173.6,Sent,443
20.50.73.4,Sent,443
52.178.17.233,Sent,443
20.189.173.15,Sent,443
72.145.35.113,Sent,443
2.23.221.196,Sent,443
13.89.179.9,Sent,443
20.109.210.53,Sent,443
20.189.173.16,Sent,443
40.126.31.129,Sent,443
172.184.231.71,Sent,443
20.242.39.171,Sent,443
20.49.150.241,Sent,443
104.208.16.95,Sent,443
13.89.179.8,Sent,443
13.89.179.13,Sent,443
52.182.141.63,Sent,443
20.42.73.30,Sent,443
20.42.73.26,Sent,443
51.116.253.169,Sent,443
51.11.168.232,Sent,443
52.182.143.213,Sent,443
20.42.65.85,Sent,443
20.189.173.10,Sent,443
40.79.141.154,Sent,443
104.208.16.88,Sent,443
91.81.129.180,Sent,80
52.137.106.217,Sent,443
20.118.138.130,Sent,443
52.168.112.67,Sent,443
52.168.117.171,Sent,443
20.42.73.31,Sent,443
104.208.16.90,Sent,443
52.167.17.97,Sent,443
20.42.65.89,Sent,443
52.168.117.174,Sent,443
20.189.173.18,Sent,443
52.182.143.214,Sent,443
20.189.173.2,Sent,443
20.42.65.91,Sent,443
20.189.173.28,Sent,443
91.80.49.20,Sent,80
52.140.118.28,Sent,443
13.89.178.26,Sent,443
52.168.112.66,Sent,443
13.89.179.10,Sent,443
52.182.143.208,Sent,443
20.189.173.25,Sent,443
13.69.239.73,Sent,443
52.167.249.196,Sent,443
40.126.32.68,Sent,443
20.50.73.9,Sent,443
40.120.77.180,Sent,443
52.178.17.3,Sent,443
217.20.56.102,Sent,80
20.189.173.14,Sent,443
74.178.240.61,Sent,443
20.50.73.10,Sent,443
51.116.246.106,Sent,443
52.168.117.170,Sent,443
20.189.173.4,Sent,443
20.189.173.27,Sent,443
20.189.173.8,Sent,443
51.132.193.105,Sent,443
20.189.173.11,Sent,443
20.42.73.24,Sent,443
20.44.10.123,Sent,443
20.189.173.13,Sent,443
72.145.35.108,Sent,443
52.149.20.212,Sent,443
40.126.31.131,Sent,443
134.33.185.100,Sent,443
52.165.164.15,Sent,443
72.153.5.133,Sent,443
40.119.249.228,Sent,443
104.46.162.227,Sent,443
20.44.10.122,Sent,443
104.208.16.89,Sent,443
20.189.173.9,Sent,443
40.79.173.40,Sent,443
20.189.173.12,Sent,443
13.89.179.14,Sent,443
51.116.246.104,Sent,443
217.20.56.101,Sent,80
91.80.49.21,Sent,80
20.42.65.88,Sent,443
51.132.193.104,Sent,443
51.104.15.252,Sent,443
91.81.129.181,Sent,80
40.79.197.35,Sent,443
104.208.16.92,Sent,443
13.69.239.78,Sent,443
151.101.190.172,Sent,80
104.46.162.226,Sent,443
40.79.173.41,Sent,443
52.178.17.235,Sent,443
52.182.143.210,Sent,443
52.138.229.66,Sent,443
13.89.179.11,Sent,443
13.69.116.104,Sent,443
51.104.15.253,Sent,443
72.145.35.114,Sent,443
20.190.160.130,Sent,443
135.18.128.209,Sent,443
72.145.35.106,Sent,443
20.189.173.3,Sent,443
91.80.49.22,Sent,80
20.42.65.84,Sent,443
20.50.201.205,Sent,443
13.56.121.58,Sent,443
54.67.122.238,Sent,443
20.190.160.66,Sent,443
13.70.79.200,Sent,443
20.190.159.128,Sent,443
52.183.220.149,Sent,443
10.141.10.102,Sent,1772
10.141.10.102,Sent,3844
52.178.17.234,Sent,443
20.50.201.200,Sent,443
13.69.239.74,Sent,443
52.178.17.2,Sent,443
72.154.7.101,Sent,443
20.190.159.71,Sent,443
4.250.18.209,Sent,443
72.145.35.110,Sent,443
20.190.160.4,Sent,443
13.78.111.199,Sent,443
13.69.116.109,Sent,443
217.20.56.100,Sent,80
13.69.109.131,Sent,443
20.50.80.213,Sent,443
40.79.189.59,Sent,443
20.190.160.64,Sent,443
52.168.117.168,Sent,443
74.178.76.128,Sent,443
54.67.123.234,Sent,443
54.183.135.80,Sent,443
20.50.73.13,Sent,443
40.126.31.67,Sent,443
134.33.185.99,Sent,443
13.85.23.206,Sent,443
20.190.160.20,Sent,443
51.11.192.48,Sent,443
20.50.73.11,Sent,443
2.21.64.187,Sent,80
54.67.108.17,Sent,443
52.8.141.1,Sent,443
54.67.114.188,Sent,443
20.50.201.201,Sent,443
2.21.64.146,Sent,80
54.183.120.141,Sent,443
20.50.80.210,Sent,443
20.12.23.50,Sent,443
130.213.27.176,Sent,443
72.154.7.106,Sent,443
40.126.31.1,Sent,443
20.50.201.204,Sent,443
20.50.80.209,Sent,443
51.11.192.50,Sent,443
44.128.83.172,Received,1945
44.128.83.172,Received,1997
44.128.83.172,Received,1943
44.128.83.172,Received,1947
44.128.83.172,Received,445
44.128.83.172,Received,1982
44.128.83.172,Received,1909
44.128.83.172,Received,1974
44.128.83.172,Received,1961
44.128.83.172,Received,2051
44.128.83.172,Received,1990
44.128.83.172,Received,1933
44.128.83.172,Received,1983
44.128.83.172,Received,1978
44.128.83.172,Received,1952
44.128.83.172,Received,1959
44.128.83.172,Received,139
44.128.83.172,Received,1890
44.128.83.172,Received,1893
44.128.83.172,Received,1900
44.128.83.172,Received,2067
44.128.83.172,Received,1964
44.128.83.172,Received,1897
44.128.83.172,Received,1988
44.128.83.172,Received,1916
44.128.83.172,Received,2002
44.128.83.172,Received,1985
44.128.83.172,Received,1907
44.128.83.172,Received,443
44.128.83.172,Received,1981
44.128.83.172,Received,1887
44.128.83.172,Received,1966
44.128.83.172,Received,1965
44.128.83.172,Received,1984
44.128.83.172,Received,1885
44.128.83.172,Received,2080
